"Date","No.","Description","Debit","Credit"
"11/10/2025","","Additional Account History Fee","5.95",""
"11/10/2025","","ACH Deposit  Funding    Cherry  101019641704217","","640.00"
"11/10/2025","","ACH Deposit  DEPOSIT    498479102887  091000010296920 MERCHANT BANKC","","1969.58"
"11/12/2025","","ACH Debit  CLOVER FEE 2085633  111000020435141 CLOVER FEES","9.13",""
"11/12/2025","","ACH Debit  ONLINE PMT CA0A2AD19B1F673  056073617109148 CAPITAL ONE","14700.00",""
"11/13/2025","5091","Check","412.60",""
"11/13/2025","","ACH Deposit  DEPOSIT    498479102887  091000014761338 MERCHANT BANKC","","2085.11"
"11/14/2025","","ACH Deposit  DEPOSIT    498479102887  091000011414346 MERCHANT BANKC","","4397.15"
"11/14/2025","","ACH Debit  Rent       Suite 304  071102560004652 Blusky Premium","570.00",""
"11/14/2025","","ACH Deposit  PAYMENTS   000000000033659  021000027870023 GALDERMA ASPIR","","236.36"
"11/14/2025","","ACH Deposit  PAYMENTS   000000000033659  021000027532212 GALDERMA ASPIR","","90.00"
"11/14/2025","","ACH Debit  CDSEMAGLUT CD PHARMACY LLC  041001032338665","698.00",""
"11/17/2025","","ACH Deposit  DEPOSIT    498479102887  091000013429770 MERCHANT BANKC","","509.04"
"11/17/2025","","ACH Deposit  DEPOSIT    498479102887  091000010617833 MERCHANT BANKC","","3197.81"
"11/17/2025","","ACH Debit  2063885900 3180003870  026073181743812 GRAVITY PAYMEN","10.00",""
"11/17/2025","","ACH Deposit  Funding    Cherry  101019641910317","","430.19"
"11/19/2025","","ACH Debit  DEPOSIT    498479102887  091000019893808 MERCHANT BANKC","457.09",""
"11/20/2025","","ACH Deposit  Alle (Alle       INK7V4LOY  273976360023501 Alle (Allergan","","874.00"
"11/20/2025","","ACH Deposit  DEPOSIT    498479102887  091000012438400 MERCHANT BANKC","","72.00"
"11/21/2025","","ACH Deposit  DEPOSIT    498479102887  091000017868422 MERCHANT BANKC","","5082.15"
"11/21/2025","","ACH Debit  CDSEMAGLU  CD PHARMACY LLC  041001039839940","568.00",""
"11/21/2025","","ACH Debit  Rent       Suite 304  071102560004107 Blusky Premium","570.00",""
"11/24/2025","","ACH Deposit  DEPOSIT    498479102887  091000017666185 MERCHANT BANKC","","1975.38"
"11/24/2025","","ACH Deposit  DEPOSIT    498479102887  091000010727799 MERCHANT BANKC","","128.70"
"11/26/2025","","Deposit  U42373 R121 B1682 D8260 SQ021  012100002","","596.00"
"11/26/2025","","ACH Deposit  DEPOSIT    498479102887  091000016168599 MERCHANT BANKC","","615.81"
"11/28/2025","","Commerce Mobile Deposit Item","","847.14"
"11/28/2025","","ACH Deposit  PAYMENTS   000000000033659  021000026988212 GALDERMA ASPIR","","90.00"
"11/28/2025","","ACH Debit  CDSEMAGLU  CD PHARMACY LLC  041001032272142","1026.00",""
"11/28/2025","","ACH Debit  Rent       Suite 304  071102560018056 Blusky Premium","570.00",""
"11/28/2025","","ACH Deposit  DEPOSIT    498479102887  091000012773880 MERCHANT BANKC","","3521.75"
"12/1/2025","","ACH Deposit  DEPOSIT    498479102887  091000012605441 MERCHANT BANKC","","1020.00"
"12/1/2025","","Commerce Mobile Deposit Item","","201.90"
"12/2/2025","","ACH Deposit  DEPOSIT    498479102887  091000012522993 MERCHANT BANKC","","1500.00"
"12/2/2025","","ACH Debit  ONLINE PMT CA0D2E1EACB7F38  056073613249511 CAPITAL ONE","20000.00",""
"12/3/2025","","ACH Debit  DISCOUNT   498479102887  091000016058803 MERCHANT BANKC","736.04",""
"12/3/2025","","ACH Deposit  DEPOSIT    498479102887  091000016058960 MERCHANT BANKC","","3893.00"
"12/4/2025","","ACH Deposit  DEPOSIT    498479102887  091000013955877 MERCHANT BANKC","","2291.21"
"12/5/2025","","ACH Deposit  PAYMENTS   000000000033659  021000027960303 GALDERMA ASPIR","","50.00"
"12/5/2025","","ACH Debit  CDSEMAGLU  CD PHARMACY LLC  041001031170883","437.00",""
"12/5/2025","","ACH Deposit  DEPOSIT    498479102887  091000010690627 MERCHANT BANKC","","1845.23"
"12/5/2025","","ACH Debit  Rent       Suite 304  071102560004371 Blusky Premium","570.00",""
