TxnDate,RefNumber,Account,Debit,Credit,Name,Memo
1/3/2025,31013,1330 · Vendor Receivable: Galderma,20,,5d965ce6-acc6-4762-870a-c2a6aa819343,Vendor receivable from Aspire Awards for invoice 00031013
1/3/2025,31013,Accounts Receivable,,20,5d965ce6-acc6-4762-870a-c2a6aa819343,Vendor receivable from Aspire Awards for invoice 00031013
1/3/2025,31013,1310 · Vendor Receivable: Allergan,100,,5d965ce6-acc6-4762-870a-c2a6aa819343,Vendor receivable from Alle Rewards for invoice 00031013
1/3/2025,31013,Accounts Receivable,,100,5d965ce6-acc6-4762-870a-c2a6aa819343,Vendor receivable from Alle Rewards for invoice 00031013
1/3/2025,31014,1330 · Vendor Receivable: Galderma,20,,b6dd7bd2-f305-408d-9567-8052ec50c678,Vendor receivable from Aspire Awards for invoice 00031014
1/3/2025,31014,Accounts Receivable,,20,b6dd7bd2-f305-408d-9567-8052ec50c678,Vendor receivable from Aspire Awards for invoice 00031014
1/15/2025,31068,1330 · Vendor Receivable: Galderma,50,,b8b35095-6079-41e5-85e6-469119bbf393,Vendor receivable from Aspire Awards for invoice 00031068
1/15/2025,31068,Accounts Receivable,,50,b8b35095-6079-41e5-85e6-469119bbf393,Vendor receivable from Aspire Awards for invoice 00031068
1/17/2025,31079,1330 · Vendor Receivable: Galderma,20,,8114a540-9e8f-4512-a89c-48784f09fd15,Vendor receivable from Aspire Awards for invoice 00031079
1/17/2025,31079,Accounts Receivable,,20,8114a540-9e8f-4512-a89c-48784f09fd15,Vendor receivable from Aspire Awards for invoice 00031079
1/17/2025,31083,1330 · Vendor Receivable: Galderma,20,,37ec8873-53cd-4cca-88e6-b4da2c14c94f,Vendor receivable from Aspire Awards for invoice 00031083
1/17/2025,31083,Accounts Receivable,,20,37ec8873-53cd-4cca-88e6-b4da2c14c94f,Vendor receivable from Aspire Awards for invoice 00031083
1/17/2025,31086,1310 · Vendor Receivable: Allergan,300,,5c5d3988-80d1-4dbf-a897-b8d796478856,Vendor receivable from Alle Rewards for invoice 00031086
1/17/2025,31086,Accounts Receivable,,300,5c5d3988-80d1-4dbf-a897-b8d796478856,Vendor receivable from Alle Rewards for invoice 00031086
1/22/2025,31108,1310 · Vendor Receivable: Allergan,130,,6523d9c0-c7dc-4133-aea9-d229da32ebc6,Vendor receivable from Alle Rewards for invoice 00031108
1/22/2025,31108,Accounts Receivable,,130,6523d9c0-c7dc-4133-aea9-d229da32ebc6,Vendor receivable from Alle Rewards for invoice 00031108
1/22/2025,31111,1310 · Vendor Receivable: Allergan,20,,a9ce6551-33fe-4e6c-b49d-8199627ac895,Vendor receivable from Alle Rewards for invoice 00031111
1/22/2025,31111,Accounts Receivable,,20,a9ce6551-33fe-4e6c-b49d-8199627ac895,Vendor receivable from Alle Rewards for invoice 00031111
1/24/2025,31019,1330 · Vendor Receivable: Galderma,75,,29d13dc0-db43-4fbf-9888-86d43781a8b2,Vendor receivable from Aspire Awards for invoice 00031019
1/24/2025,31019,Accounts Receivable,,75,29d13dc0-db43-4fbf-9888-86d43781a8b2,Vendor receivable from Aspire Awards for invoice 00031019
1/24/2025,31124,1330 · Vendor Receivable: Galderma,50,,3e8656e9-2bae-4b15-aba7-8aa6645d1310,Vendor receivable from Aspire Awards for invoice 00031124
1/24/2025,31124,Accounts Receivable,,50,3e8656e9-2bae-4b15-aba7-8aa6645d1310,Vendor receivable from Aspire Awards for invoice 00031124
1/24/2025,31126,1330 · Vendor Receivable: Galderma,50,,ad564527-59cf-4c9e-918c-0bdb19c6510a,Vendor receivable from Aspire Awards for invoice 00031126
1/24/2025,31126,Accounts Receivable,,50,ad564527-59cf-4c9e-918c-0bdb19c6510a,Vendor receivable from Aspire Awards for invoice 00031126
1/24/2025,31126,1210 · Cherry Receivable,2282.77,,ad564527-59cf-4c9e-918c-0bdb19c6510a,Vendor receivable from Cherry for invoice 00031126
1/24/2025,31126,Accounts Receivable,,2282.77,ad564527-59cf-4c9e-918c-0bdb19c6510a,Vendor receivable from Cherry for invoice 00031126
1/24/2025,31130,1310 · Vendor Receivable: Allergan,20,,d7819a16-2776-46bf-b71a-205e538ccbd3,Vendor receivable from Alle Rewards for invoice 00031130
1/24/2025,31130,Accounts Receivable,,20,d7819a16-2776-46bf-b71a-205e538ccbd3,Vendor receivable from Alle Rewards for invoice 00031130
1/24/2025,31130,1330 · Vendor Receivable: Galderma,20,,d7819a16-2776-46bf-b71a-205e538ccbd3,Vendor receivable from Aspire Awards for invoice 00031130
1/24/2025,31130,Accounts Receivable,,20,d7819a16-2776-46bf-b71a-205e538ccbd3,Vendor receivable from Aspire Awards for invoice 00031130
1/29/2025,31150,1330 · Vendor Receivable: Galderma,50,,a145532a-5e68-4f14-95b9-ec9011b2741e,Vendor receivable from Aspire Awards for invoice 00031150
1/29/2025,31150,Accounts Receivable,,50,a145532a-5e68-4f14-95b9-ec9011b2741e,Vendor receivable from Aspire Awards for invoice 00031150
1/29/2025,31151,1310 · Vendor Receivable: Allergan,20,,7afd913b-be9d-4da7-b8b1-13f5ce593a32,Vendor receivable from Alle Rewards for invoice 00031151
1/29/2025,31151,Accounts Receivable,,20,7afd913b-be9d-4da7-b8b1-13f5ce593a32,Vendor receivable from Alle Rewards for invoice 00031151
1/29/2025,31153,1310 · Vendor Receivable: Allergan,20,,863dd62c-e16c-4464-a90f-b2eb44c06ace,Vendor receivable from Alle Rewards for invoice 00031153
1/29/2025,31153,Accounts Receivable,,20,863dd62c-e16c-4464-a90f-b2eb44c06ace,Vendor receivable from Alle Rewards for invoice 00031153
1/29/2025,31156,1310 · Vendor Receivable: Allergan,140,,77656f52-d700-4061-91b8-96b42a4645cf,Vendor receivable from Alle Rewards for invoice 00031156
1/29/2025,31156,Accounts Receivable,,140,77656f52-d700-4061-91b8-96b42a4645cf,Vendor receivable from Alle Rewards for invoice 00031156
1/29/2025,31158,1310 · Vendor Receivable: Allergan,100,,c0d05d0b-749f-47bc-8df7-86274a1cda7a,Vendor receivable from Alle Rewards for invoice 00031158
1/29/2025,31158,Accounts Receivable,,100,c0d05d0b-749f-47bc-8df7-86274a1cda7a,Vendor receivable from Alle Rewards for invoice 00031158
1/30/2025,31162,1310 · Vendor Receivable: Allergan,30,,87fe7b87-5962-4433-a828-616574d70b2f,Vendor receivable from Alle Rewards for invoice 00031162
