,,Item,,Description
,,Bonus Expense,,Bonus Expense
,,Customer Deposit,,Customer Deposit
,,GRATUITY,,GRATUITY
,,Hylenex-Filler Reversal,,Hylenex-Filler Reversal
,,Model Sitting Fee,,Model Sitting Fee
,,Weight Loss Consultation,,Weight Loss Consultation
,,Injectables,,
,,Injectables:Botox per Unit 100U,,Botox Cosmetic 100
,,Injectables:Botox per Unit 50U,,Botox Cosmetic 50
,,Injectables:Daxxify per Unit,,Daxxify
,,Injectables:Dysport per Unit,,Dysport
,,Injectables:Hylenex Filler Reversal,,Hylenex Filler Reversal
,,Injectables:Juvederm Ult PlusXC per Syringe,,Juvederm Ultra Plus XC 1 mL
,,Injectables:Juvederm UltraXC per Syringe,,Juvederm Ultra XC 1 mL
,,Injectables:Juvederm VolbellaXC per Syringe,,Juvederm Volbella XC 1 mL
,,Injectables:Juvederm VolumaXC per Syringe,,Juvederm Voluma XC 1 mL
,,Injectables:Restalyne Kysse,,
,,Injectables:Restylane Lyft,,Restylane Lyft
,,Injectables:Restylane Refyne,,Restylane Refyne
,,Injectables:RHA 2,,RHA 2
,,Injectables:RHA Redensity,,RHA Redensity
,,Injectables:RHA3,,RHA3
,,Injectables:Sculptra,,
,,Retail Skincare,,
,,Retail Skincare:10% Vitamin C 20mL,,ZO 10% Vitamin C 20mL
,,Retail Skincare:10% Vitamin C 50mL,,ZO 10% Vitamin C 50mL
,,Retail Skincare:Acne Control 60mL,,ZO Acne Control 60mL
,,Retail Skincare:AHA/BHA ExfolClnsr 6oz,,AHA/BHA Exfoliating Cleanser 6 fl oz
,,Retail Skincare:AHA/BHA ExfolClnsr Trial,,AHA/BHA ExfolClnsr 1oz Trial
,,Retail Skincare:Anti Aging Program Kit,,ZO Anti Aging Program Kit
,,Retail Skincare:Balancing Cleansing 200mL,,ZO Balancing Cleansing 200mL
,,Retail Skincare:Body Emulsion 240mL,,ZO Body Emulsion 240mL
,,Retail Skincare:Brightalive 30mL,,ZO Brightalive 50mL
,,Retail Skincare:Brightalive 50mL,,ZO Brightalive 50mL
,,Retail Skincare:Calming Toner 180 mL,,ZO Calming Toner 180 mL
,,Retail Skincare:Calming Toner 50mL,,ZO Calming Toner 50mL
,,Retail Skincare:Complex A+ 27mL,,ZO Complex A+ 27mL
,,Retail Skincare:Complexion Clarifying Serum,,ZO Complexion Clarifying Serum
,,Retail Skincare:Complexion Clear Prog Kit,,ZO Complexion Clear Prog Kit
,,Retail Skincare:Complexion Renew Pads 30ct,,ZO Complexion Renew Pads 30ct
,,Retail Skincare:Complexion Renew Pads 60ct,,ZO Complexion Renew Pads 60ct
,,Retail Skincare:Complexion Renewal Pads 30ct,,ZO Complexion Renewal Pads 30ct
,,Retail Skincare:Daily Power Defense 30ml,,ZO Daily Power Defense 30ml
,,Retail Skincare:Daily Power Defense 50mL,,ZO Daily Power Defense 50mL
,,Retail Skincare:Daily Sheer Broad Spec SPF50,,ZO Daily Sheer Broad Spec SPF50
,,Retail Skincare:Daily Skincare Program Kit,,ZO Daily Skincare Program Kit
