Date/Time,Approval,Type,Card,Sale Amount,Tip,Total,Cashier,Source,Card Type
10/8/2025 20:27,102577,Credit Sale,****6599,387.05,,387.05,,emergepay,VS
10/8/2025 19:36,09868D,Credit Sale,****8392,332,,332,,emergepay,VS
10/8/2025 18:45,06258Z,Credit Sale,****3344,182,,182,,emergepay,MC
10/8/2025 18:29,43664P,Credit Sale,****3070,340,,340,,emergepay,MC
10/8/2025 18:14,02272D,Credit Sale,****3694,682.72,,682.72,,emergepay,VS
10/8/2025 17:35,557371,Credit Sale,****4066,257,,257,,emergepay,VS
10/8/2025 17:26,08024D,Credit Sale,****3495,508,,508,,emergepay,VS
10/8/2025 16:54,023754,Credit Sale,****4701,825,,825,,emergepay,VS
10/8/2025 13:51,03087I,Credit Sale,****4984,150,,150,41044-65.26.20.131,emergepay,VS
10/8/2025 13:16,00888Z,Credit Sale,****8789,510,,510,,emergepay,MC
10/8/2025 11:08,04760Z,Credit Sale,****0423,520,,520,41044-65.26.20.131,emergepay,MC
10/8/2025 10:42,07523D,Credit Sale,****9074,578,,578,41044-65.26.20.131,emergepay,VS
10/7/2025 15:50,837400,Credit Sale,****3604,255,76.5,331.5,,emergepay,VS
10/7/2025 11:54,03158G,Credit Sale,****4145,541,,541,,emergepay,VS
10/5/2025 18:31,04334D,Credit Sale,****1917,500,,500,41044-98.156.2.69,emergepay,VS
10/2/2025 15:52,149314,Credit Sale,****7394,1000,,1000,41044-98.156.2.69,emergepay,MC
10/2/2025 14:36,095048,Credit Sale,****3376,149,26.82,175.82,,emergepay,VS
10/2/2025 12:28,00288P,Credit Sale,****0380,501.11,30,531.11,,emergepay,DC
10/1/2025 17:33,965910,Credit Sale,****5621,412.03,,412.03,41044-65.26.20.131,emergepay,VS
10/1/2025 16:49,004183,Credit Sale,****6898,633,,633,41044-65.26.20.131,emergepay,VS
10/1/2025 16:13,00313D,Credit Sale,****7424,898.67,,898.67,,emergepay,VS
10/1/2025 14:43,00437D,Credit Sale,****0400,338,,338,41044-65.26.20.131,emergepay,VS
10/1/2025 13:47,21483Z,Credit Sale,****3232,250.84,,250.84,41044-65.26.20.131,emergepay,MC
10/1/2025 12:14,191941,Credit Sale,****2199,733.42,,733.42,41044-65.26.20.131,emergepay,VS
10/1/2025 11:18,001119,Credit Sale,****0218,390,,390,41044-65.26.20.131,emergepay,VS
10/1/2025 10:50,843684,Credit Sale,****2015,903,,903,,emergepay,AX
9/30/2025 16:46,01215D,Credit Sale,****0702,20,2,22,,emergepay,VS
9/30/2025 11:31,03200D,Credit Sale,****9156,299,,299,,emergepay,VS
9/29/2025 12:50,516168,Credit Sale,****4130,576.61,,576.61,,emergepay,VS
9/29/2025 12:45,514434,Credit Sale,****4130,600,,23.39,,emergepay,VS
9/29/2025 11:27,02983P,Credit Sale,****3658,650,,650,61202-65.26.20.131,emergepay,DC
9/26/2025 16:51,04645D,Credit Sale,****4350,570.57,,570.57,,emergepay,VS
9/26/2025 16:08,09311D,Credit Sale,****9140,715.01,,715.01,41044-65.26.20.131,emergepay,VS
9/26/2025 15:17,02418D,Credit Sale,****3024,22.96,,22.96,,emergepay,VS
9/26/2025 15:03,08620D,Credit Sale,****0708,129.9,,129.9,41044-65.26.20.131,emergepay,VS
